Titulo,URL,Descripcion,limpieza,origenes
Ferrari,/title/tt3758542/,Biography Drama History             The life story of Italian sports car entrepreneur Enzo Ferrari,biography drama history life story italian sports car entrepreneur enzo ferrari,biographi drama histori life stori italian sport car entrepreneur enzo ferrari
Mechanic: Resurrection,/title/tt3522806/,Action Adventure Crime             Bishops most formidable foe kidnaps the love of his life in order to make him complete three impossible assassinations and make them look like accidents,action adventure crime bishops formidable foe kidnaps love life order make complete three impossible assassinations make look like accidents,action adventur crime bishop formid foe kidnap love life order make complet three imposs assassin make look like accid
Your Place or Mine,/title/tt12823454/,Comedy Romance             Two longdistance best friends change each others lives when she decides to pursue a lifelong dream and he volunteers to keep an eye on her teenage son,comedy romance two longdistance best friends change others lives decides pursue lifelong dream volunteers keep eye teenage son,comedi romanc two longdist best friend chang other live decid pursu lifelong dream volunt keep eye teenag son
Polar,/title/tt4139588/,Action Thriller             A retiring assassin suddenly finds himself on the receiving end of a hit contracted by none other than his own employer seeking to cash in on the pensions of aging employees,action thriller retiring assassin suddenly finds receiving end hit contracted none employer seeking cash pensions aging employees,action thriller retir assassin sudden find receiv end hit contract none employ seek cash pension age employe
Dog Day Afternoon,/title/tt0072890/,Biography Crime Drama             Three amateur bank robbers plan to hold up a bank A nice simple robbery Walk in take the money and run Unfortunately the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does,biography crime drama three amateur bank robbers plan hold bank nice simple robbery walk take money run unfortunately supposedly uncomplicated heist suddenly becomes bizarre nightmare everything could go wrong,biographi crime drama three amateur bank robber plan hold bank nice simpl robberi walk take money run unfortun suppos uncompl heist sudden becom bizarr nightmar everyth could go wrong
Batman Forever,/title/tt0112462/,Action Adventure             Batman must battle former district attorney Harvey Dent who is now TwoFace and Edward Nygma The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick Robin,action adventure batman must battle former district attorney harvey dent twoface edward nygma riddler help amorous psychologist young circus acrobat becomes sidekick robin,action adventur batman must battl former district attorney harvey dent twofac edward nygma riddler help amor psychologist young circus acrobat becom sidekick robin
Triple Frontier,/title/tt1488606/,Action Thriller             Loyalties are tested when five friends and former special forces operatives reunite to take down a South American drug lord unleashing a chain of unintended consequences,action thriller loyalties tested five friends former special forces operatives reunite take south american drug lord unleashing chain unintended consequences,action thriller loyalti test five friend former special forc oper reunit take south american drug lord unleash chain unintend consequ
Footloose,/title/tt0087277/,Drama Music Romance             A city teenager moves to a small town where rock music and dancing have been banned and his rebellious spirit shakes up the populace,drama music romance city teenager moves small town rock music dancing banned rebellious spirit shakes populace,drama music romanc citi teenag move small town rock music danc ban rebelli spirit shake populac
The Hunger Games: Mockingjay - Part 2,/title/tt1951266/,Action Adventure SciFi             Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem,action adventure scifi katniss team rebels district 13 prepare final battle decide fate panem,action adventur scifi katniss team rebel district 13 prepar final battl decid fate panem
Wrong Turn,/title/tt0295700/,Horror Thriller             Chris and a group of five friends are left stranded deep in the middle of the woods after their cars collide As they venture deeper into the woods they face an uncertain and bloodcurdling fate,horror thriller chris group five friends left stranded deep middle woods cars collide venture deeper woods face uncertain bloodcurdling fate,horror thriller chris group five friend left strand deep middl wood car collid ventur deeper wood face uncertain bloodcurdl fate
